ROAD TRIP CSV ",."
Version,Language
1500,en


FUEL RECORDS
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Location,Payment,Conditions,Reset,Categories,Flags,Currency Code,Currency Rate,Latitude,Longitude,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
337,,"2023-2-3 18:39",17.743,Gal,3.7992,67.41,,,,"93 Octane","NB Shell",,,Reset,,9,,1,29.705162,-98.141374,1,,,,,0
621,284,"2023-2-4 21:24",15.847,Gal,4.4993,71.3,,17.9214,,"93 Octane","Montrose Shell",,,,,0,,1,29.734717,-95.390656,2,,,,,0
931,310,"2023-2-9 11:26",16.367,Gal,3.4881,57.09,,18.9405,,"93 Octane","H‑E‑B Bulverde",,,,,0,,1,29.798191,-98.429931,3,,,,,0
1248,317,"2023-2-22 19:21",17.067,Gal,3.9989,68.25,,18.5739,,"93 Octane","Valero 281",,,,,0,,1,29.661352,-98.449669,4,,,27,,0
1568,320,"2023-3-8 15:12",16.896,Gal,3.4789,58.78,,18.9394,,"93 Octane","H‑E‑B Bulverde",,,,,0,,1,29.798191,-98.429931,5,,,,,0
1845,277,"2023-3-20",16.089,Gal,3.4887,56.13,,17.2167,,"93 Octane","H‑E‑B Bulverde",,,,,0,,1,29.798191,-98.429931,6,,,12,,0
2172,327,"2023-4-1 11:43",16.914,Gal,3.7289,63.07,,19.3331,,"93 Octane","Bucees Katy","Apple Pay",,,,0,,1,29.778196,-95.848122,7,,,28,,0
2560,388,"2023-4-6 15:03",5,Gal,4.4991,22.5,Partial,24.0897,"Dealership was diagnosing A/C weirdness","93 Octane","Ferrari Of San Antonio",,,,,0,,1,29.621837,-98.607595,8,,,,,0
2606,46,"2023-4-7 12:25",13.016,Gal,3.8791,50.49,,24.0897,,"93 Octane","Valero 46","Apple Pay",,,,0,,1,29.826942,-98.572144,9,,,11,,0
2865,259,"2023-4-10 11:32",12.189,Gal,3.7993,46.31,,21.2487,,"91 Octane","Sunoco Sterling TX","Platinum","Highway",,,0,,1,31.836654,-100.994253,10,,,18,,0
3227,362,"2023-4-10 16:17",15.203,Gal,4.4991,68.4,,23.8111,,"91 Octane","Conoco","Platinum","Highway",,,0,,1,34.594468,-105.189753,11,,,22,,0
